"","X","parent"
"1",1,70.5
"2",2,68.5
"3",3,65.5
"4",4,64.5
"5",5,64
"6",6,67.5
"7",7,67.5
"8",8,67.5
"9",9,66.5
"10",10,66.5
"11",11,66.5
"12",12,64.5
"13",13,70.5
"14",14,69.5
"15",15,68.5
"16",16,68.5
"17",17,68.5
"18",18,68.5
"19",19,68.5
"20",20,68.5
"21",21,68.5
"22",22,67.5
"23",23,67.5
"24",24,67.5
"25",25,67.5
"26",26,67.5
"27",27,66.5
"28",28,66.5
"29",29,66.5
"30",30,65.5
"31",31,65.5
"32",32,65.5
"33",33,65.5
"34",34,65.5
"35",35,65.5
"36",36,65.5
"37",37,65.5
"38",38,65.5
"39",39,64.5
"40",40,64.5
"41",41,64.5
"42",42,64.5
"43",43,64
"44",44,64
"45",45,69.5
"46",46,69.5
"47",47,69.5
"48",48,69.5
"49",49,69.5
"50",50,69.5
"51",51,69.5
"52",52,69.5
"53",53,69.5
"54",54,69.5
"55",55,69.5
"56",56,69.5
"57",57,69.5
"58",58,69.5
"59",59,69.5
"60",60,69.5
"61",61,68.5
"62",62,68.5
"63",63,68.5
"64",64,68.5
"65",65,68.5
"66",66,68.5
"67",67,68.5
"68",68,68.5
"69",69,68.5
"70",70,68.5
"71",71,68.5
"72",72,67.5
"73",73,67.5
"74",74,67.5
"75",75,67.5
"76",76,67.5
"77",77,67.5
"78",78,67.5
"79",79,67.5
"80",80,67.5
"81",81,67.5
"82",82,67.5
"83",83,67.5
"84",84,67.5
"85",85,67.5
"86",86,66.5
"87",87,66.5
"88",88,66.5
"89",89,66.5
"90",90,66.5
"91",91,65.5
"92",92,65.5
"93",93,65.5
"94",94,65.5
"95",95,65.5
"96",96,64.5
"97",97,64.5
"98",98,64.5
"99",99,64.5
"100",100,64
"101",101,64
"102",102,64
"103",103,64
"104",104,71.5
"105",105,70.5
"106",106,69.5
"107",107,69.5
"108",108,69.5
"109",109,69.5
"110",110,68.5
"111",111,68.5
"112",112,68.5
"113",113,68.5
"114",114,68.5
"115",115,68.5
"116",116,68.5
"117",117,68.5
"118",118,68.5
"119",119,68.5
"120",120,68.5
"121",121,68.5
"122",122,68.5
"123",123,68.5
"124",124,68.5
"125",125,68.5
"126",126,67.5
"127",127,67.5
"128",128,67.5
"129",129,67.5
"130",130,67.5
"131",131,67.5
"132",132,67.5
"133",133,67.5
"134",134,67.5
"135",135,67.5
"136",136,67.5
"137",137,67.5
"138",138,67.5
"139",139,67.5
"140",140,67.5
"141",141,66.5
"142",142,66.5
"143",143,65.5
"144",144,65.5
"145",145,65.5
"146",146,65.5
"147",147,65.5
"148",148,65.5
"149",149,65.5
"150",150,64.5
"151",151,64
"152",152,71.5
"153",153,71.5
"154",154,71.5
"155",155,70.5
"156",156,69.5
"157",157,69.5
"158",158,69.5
"159",159,69.5
"160",160,69.5
"161",161,69.5
"162",162,69.5
"163",163,69.5
"164",164,69.5
"165",165,69.5
"166",166,69.5
"167",167,69.5
"168",168,69.5
"169",169,69.5
"170",170,69.5
"171",171,69.5
"172",172,69.5
"173",173,68.5
"174",174,68.5
"175",175,68.5
"176",176,68.5
"177",177,68.5
"178",178,68.5
"179",179,68.5
"180",180,68.5
"181",181,68.5
"182",182,68.5
"183",183,68.5
"184",184,68.5
"185",185,68.5
"186",186,68.5
"187",187,68.5
"188",188,68.5
"189",189,68.5
"190",190,68.5
"191",191,68.5
"192",192,68.5
"193",193,68.5
"194",194,68.5
"195",195,68.5
"196",196,68.5
"197",197,68.5
"198",198,67.5
"199",199,67.5
"200",200,67.5
"201",201,67.5
"202",202,67.5
"203",203,67.5
"204",204,67.5
"205",205,67.5
"206",206,67.5
"207",207,67.5
"208",208,67.5
"209",209,67.5
"210",210,67.5
"211",211,67.5
"212",212,67.5
"213",213,67.5
"214",214,67.5
"215",215,67.5
"216",216,67.5
"217",217,67.5
"218",218,67.5
"219",219,67.5
"220",220,67.5
"221",221,67.5
"222",222,67.5
"223",223,67.5
"224",224,67.5
"225",225,67.5
"226",226,67.5
"227",227,67.5
"228",228,67.5
"229",229,67.5
"230",230,67.5
"231",231,67.5
"232",232,67.5
"233",233,67.5
"234",234,66.5
"235",235,66.5
"236",236,66.5
"237",237,66.5
"238",238,66.5
"239",239,66.5
"240",240,66.5
"241",241,66.5
"242",242,66.5
"243",243,66.5
"244",244,66.5
"245",245,66.5
"246",246,66.5
"247",247,66.5
"248",248,66.5
"249",249,66.5
"250",250,66.5
"251",251,65.5
"252",252,65.5
"253",253,65.5
"254",254,65.5
"255",255,65.5
"256",256,65.5
"257",257,65.5
"258",258,65.5
"259",259,65.5
"260",260,65.5
"261",261,65.5
"262",262,64.5
"263",263,64.5
"264",264,64.5
"265",265,64.5
"266",266,64.5
"267",267,64
"268",268,64
"269",269,71.5
"270",270,71.5
"271",271,71.5
"272",272,71.5
"273",273,70.5
"274",274,70.5
"275",275,70.5
"276",276,69.5
"277",277,69.5
"278",278,69.5
"279",279,69.5
"280",280,69.5
"281",281,69.5
"282",282,69.5
"283",283,69.5
"284",284,69.5
"285",285,69.5
"286",286,69.5
"287",287,69.5
"288",288,69.5
"289",289,69.5
"290",290,69.5
"291",291,69.5
"292",292,69.5
"293",293,69.5
"294",294,69.5
"295",295,69.5
"296",296,69.5
"297",297,69.5
"298",298,69.5
"299",299,69.5
"300",300,69.5
"301",301,69.5
"302",302,69.5
"303",303,68.5
"304",304,68.5
"305",305,68.5
"306",306,68.5
"307",307,68.5
"308",308,68.5
"309",309,68.5
"310",310,68.5
"311",311,68.5
"312",312,68.5
"313",313,68.5
"314",314,68.5
"315",315,68.5
"316",316,68.5
"317",317,68.5
"318",318,68.5
"319",319,68.5
"320",320,68.5
"321",321,68.5
"322",322,68.5
"323",323,68.5
"324",324,68.5
"325",325,68.5
"326",326,68.5
"327",327,68.5
"328",328,68.5
"329",329,68.5
"330",330,68.5
"331",331,68.5
"332",332,68.5
"333",333,68.5
"334",334,67.5
"335",335,67.5
"336",336,67.5
"337",337,67.5
"338",338,67.5
"339",339,67.5
"340",340,67.5
"341",341,67.5
"342",342,67.5
"343",343,67.5
"344",344,67.5
"345",345,67.5
"346",346,67.5
"347",347,67.5
"348",348,67.5
"349",349,67.5
"350",350,67.5
"351",351,67.5
"352",352,67.5
"353",353,67.5
"354",354,67.5
"355",355,67.5
"356",356,67.5
"357",357,67.5
"358",358,67.5
"359",359,67.5
"360",360,67.5
"361",361,67.5
"362",362,67.5
"363",363,67.5
"364",364,67.5
"365",365,67.5
"366",366,67.5
"367",367,67.5
"368",368,67.5
"369",369,67.5
"370",370,67.5
"371",371,67.5
"372",372,66.5
"373",373,66.5
"374",374,66.5
"375",375,66.5
"376",376,66.5
"377",377,66.5
"378",378,66.5
"379",379,66.5
"380",380,66.5
"381",381,66.5
"382",382,66.5
"383",383,66.5
"384",384,66.5
"385",385,66.5
"386",386,66.5
"387",387,66.5
"388",388,66.5
"389",389,65.5
"390",390,65.5
"391",391,65.5
"392",392,65.5
"393",393,65.5
"394",394,65.5
"395",395,65.5
"396",396,65.5
"397",397,65.5
"398",398,65.5
"399",399,65.5
"400",400,64.5
"401",401,64.5
"402",402,64.5
"403",403,64.5
"404",404,64.5
"405",405,64
"406",406,64
"407",407,72.5
"408",408,71.5
"409",409,71.5
"410",410,71.5
"411",411,70.5
"412",412,70.5
"413",413,70.5
"414",414,70.5
"415",415,70.5
"416",416,70.5
"417",417,70.5
"418",418,70.5
"419",419,70.5
"420",420,70.5
"421",421,70.5
"422",422,70.5
"423",423,69.5
"424",424,69.5
"425",425,69.5
"426",426,69.5
"427",427,69.5
"428",428,69.5
"429",429,69.5
"430",430,69.5
"431",431,69.5
"432",432,69.5
"433",433,69.5
"434",434,69.5
"435",435,69.5
"436",436,69.5
"437",437,69.5
"438",438,69.5
"439",439,69.5
"440",440,69.5
"441",441,69.5
"442",442,69.5
"443",443,68.5
"444",444,68.5
"445",445,68.5
"446",446,68.5
"447",447,68.5
"448",448,68.5
"449",449,68.5
"450",450,68.5
"451",451,68.5
"452",452,68.5
"453",453,68.5
"454",454,68.5
"455",455,68.5
"456",456,68.5
"457",457,68.5
"458",458,68.5
"459",459,68.5
"460",460,68.5
"461",461,68.5
"462",462,68.5
"463",463,68.5
"464",464,68.5
"465",465,68.5
"466",466,68.5
"467",467,68.5
"468",468,68.5
"469",469,68.5
"470",470,68.5
"471",471,68.5
"472",472,68.5
"473",473,68.5
"474",474,68.5
"475",475,68.5
"476",476,68.5
"477",477,67.5
"478",478,67.5
"479",479,67.5
"480",480,67.5
"481",481,67.5
"482",482,67.5
"483",483,67.5
"484",484,67.5
"485",485,67.5
"486",486,67.5
"487",487,67.5
"488",488,67.5
"489",489,67.5
"490",490,67.5
"491",491,67.5
"492",492,67.5
"493",493,67.5
"494",494,67.5
"495",495,67.5
"496",496,67.5
"497",497,67.5
"498",498,67.5
"499",499,67.5
"500",500,67.5
"501",501,67.5
"502",502,67.5
"503",503,67.5
"504",504,67.5
"505",505,66.5
"506",506,66.5
"507",507,66.5
"508",508,66.5
"509",509,66.5
"510",510,66.5
"511",511,66.5
"512",512,66.5
"513",513,66.5
"514",514,66.5
"515",515,66.5
"516",516,66.5
"517",517,66.5
"518",518,66.5
"519",519,65.5
"520",520,65.5
"521",521,65.5
"522",522,65.5
"523",523,65.5
"524",524,65.5
"525",525,65.5
"526",526,64
"527",527,72.5
"528",528,72.5
"529",529,71.5
"530",530,71.5
"531",531,71.5
"532",532,71.5
"533",533,71.5
"534",534,70.5
"535",535,70.5
"536",536,70.5
"537",537,70.5
"538",538,70.5
"539",539,70.5
"540",540,70.5
"541",541,70.5
"542",542,70.5
"543",543,70.5
"544",544,70.5
"545",545,70.5
"546",546,70.5
"547",547,70.5
"548",548,70.5
"549",549,70.5
"550",550,70.5
"551",551,70.5
"552",552,69.5
"553",553,69.5
"554",554,69.5
"555",555,69.5
"556",556,69.5
"557",557,69.5
"558",558,69.5
"559",559,69.5
"560",560,69.5
"561",561,69.5
"562",562,69.5
"563",563,69.5
"564",564,69.5
"565",565,69.5
"566",566,69.5
"567",567,69.5
"568",568,69.5
"569",569,69.5
"570",570,69.5
"571",571,69.5
"572",572,69.5
"573",573,69.5
"574",574,69.5
"575",575,69.5
"576",576,69.5
"577",577,69.5
"578",578,69.5
"579",579,69.5
"580",580,69.5
"581",581,69.5
"582",582,69.5
"583",583,69.5
"584",584,69.5
"585",585,68.5
"586",586,68.5
"587",587,68.5
"588",588,68.5
"589",589,68.5
"590",590,68.5
"591",591,68.5
"592",592,68.5
"593",593,68.5
"594",594,68.5
"595",595,68.5
"596",596,68.5
"597",597,68.5
"598",598,68.5
"599",599,68.5
"600",600,68.5
"601",601,68.5
"602",602,68.5
"603",603,68.5
"604",604,68.5
"605",605,68.5
"606",606,68.5
"607",607,68.5
"608",608,68.5
"609",609,68.5
"610",610,68.5
"611",611,68.5
"612",612,68.5
"613",613,68.5
"614",614,68.5
"615",615,68.5
"616",616,68.5
"617",617,68.5
"618",618,68.5
"619",619,68.5
"620",620,68.5
"621",621,68.5
"622",622,68.5
"623",623,68.5
"624",624,68.5
"625",625,68.5
"626",626,68.5
"627",627,68.5
"628",628,68.5
"629",629,68.5
"630",630,68.5
"631",631,68.5
"632",632,68.5
"633",633,67.5
"634",634,67.5
"635",635,67.5
"636",636,67.5
"637",637,67.5
"638",638,67.5
"639",639,67.5
"640",640,67.5
"641",641,67.5
"642",642,67.5
"643",643,67.5
"644",644,67.5
"645",645,67.5
"646",646,67.5
"647",647,67.5
"648",648,67.5
"649",649,67.5
"650",650,67.5
"651",651,67.5
"652",652,67.5
"653",653,67.5
"654",654,67.5
"655",655,67.5
"656",656,67.5
"657",657,67.5
"658",658,67.5
"659",659,67.5
"660",660,67.5
"661",661,67.5
"662",662,67.5
"663",663,67.5
"664",664,67.5
"665",665,67.5
"666",666,67.5
"667",667,67.5
"668",668,67.5
"669",669,67.5
"670",670,67.5
"671",671,66.5
"672",672,66.5
"673",673,66.5
"674",674,66.5
"675",675,66.5
"676",676,66.5
"677",677,66.5
"678",678,66.5
"679",679,66.5
"680",680,66.5
"681",681,66.5
"682",682,66.5
"683",683,66.5
"684",684,65.5
"685",685,65.5
"686",686,65.5
"687",687,65.5
"688",688,65.5
"689",689,65.5
"690",690,65.5
"691",691,64.5
"692",692,64.5
"693",693,64
"694",694,72.5
"695",695,71.5
"696",696,71.5
"697",697,71.5
"698",698,71.5
"699",699,71.5
"700",700,71.5
"701",701,71.5
"702",702,71.5
"703",703,71.5
"704",704,71.5
"705",705,70.5
"706",706,70.5
"707",707,70.5
"708",708,70.5
"709",709,70.5
"710",710,70.5
"711",711,70.5
"712",712,70.5
"713",713,70.5
"714",714,70.5
"715",715,70.5
"716",716,70.5
"717",717,70.5
"718",718,70.5
"719",719,69.5
"720",720,69.5
"721",721,69.5
"722",722,69.5
"723",723,69.5
"724",724,69.5
"725",725,69.5
"726",726,69.5
"727",727,69.5
"728",728,69.5
"729",729,69.5
"730",730,69.5
"731",731,69.5
"732",732,69.5
"733",733,69.5
"734",734,69.5
"735",735,69.5
"736",736,69.5
"737",737,69.5
"738",738,69.5
"739",739,69.5
"740",740,69.5
"741",741,69.5
"742",742,69.5
"743",743,69.5
"744",744,68.5
"745",745,68.5
"746",746,68.5
"747",747,68.5
"748",748,68.5
"749",749,68.5
"750",750,68.5
"751",751,68.5
"752",752,68.5
"753",753,68.5
"754",754,68.5
"755",755,68.5
"756",756,68.5
"757",757,68.5
"758",758,68.5
"759",759,68.5
"760",760,68.5
"761",761,68.5
"762",762,68.5
"763",763,68.5
"764",764,68.5
"765",765,67.5
"766",766,67.5
"767",767,67.5
"768",768,67.5
"769",769,67.5
"770",770,67.5
"771",771,67.5
"772",772,67.5
"773",773,67.5
"774",774,67.5
"775",775,67.5
"776",776,67.5
"777",777,67.5
"778",778,67.5
"779",779,67.5
"780",780,67.5
"781",781,67.5
"782",782,67.5
"783",783,67.5
"784",784,66.5
"785",785,66.5
"786",786,66.5
"787",787,66.5
"788",788,65.5
"789",789,65.5
"790",790,65.5
"791",791,65.5
"792",792,65.5
"793",793,72.5
"794",794,72.5
"795",795,71.5
"796",796,71.5
"797",797,71.5
"798",798,71.5
"799",799,70.5
"800",800,70.5
"801",801,70.5
"802",802,70.5
"803",803,70.5
"804",804,70.5
"805",805,70.5
"806",806,69.5
"807",807,69.5
"808",808,69.5
"809",809,69.5
"810",810,69.5
"811",811,69.5
"812",812,69.5
"813",813,69.5
"814",814,69.5
"815",815,69.5
"816",816,69.5
"817",817,69.5
"818",818,69.5
"819",819,69.5
"820",820,69.5
"821",821,69.5
"822",822,69.5
"823",823,69.5
"824",824,69.5
"825",825,69.5
"826",826,68.5
"827",827,68.5
"828",828,68.5
"829",829,68.5
"830",830,68.5
"831",831,68.5
"832",832,68.5
"833",833,68.5
"834",834,68.5
"835",835,68.5
"836",836,68.5
"837",837,68.5
"838",838,68.5
"839",839,68.5
"840",840,68.5
"841",841,68.5
"842",842,68.5
"843",843,68.5
"844",844,67.5
"845",845,67.5
"846",846,67.5
"847",847,67.5
"848",848,67.5
"849",849,67.5
"850",850,67.5
"851",851,67.5
"852",852,67.5
"853",853,67.5
"854",854,67.5
"855",855,65.5
"856",856,65.5
"857",857,73
"858",858,72.5
"859",859,72.5
"860",860,72.5
"861",861,72.5
"862",862,72.5
"863",863,72.5
"864",864,72.5
"865",865,71.5
"866",866,71.5
"867",867,71.5
"868",868,71.5
"869",869,71.5
"870",870,71.5
"871",871,71.5
"872",872,71.5
"873",873,71.5
"874",874,70.5
"875",875,70.5
"876",876,70.5
"877",877,70.5
"878",878,69.5
"879",879,69.5
"880",880,69.5
"881",881,69.5
"882",882,69.5
"883",883,69.5
"884",884,69.5
"885",885,69.5
"886",886,69.5
"887",887,69.5
"888",888,69.5
"889",889,68.5
"890",890,68.5
"891",891,68.5
"892",892,68.5
"893",893,67.5
"894",894,67.5
"895",895,67.5
"896",896,67.5
"897",897,65.5
"898",898,73
"899",899,73
"900",900,73
"901",901,72.5
"902",902,72.5
"903",903,71.5
"904",904,71.5
"905",905,70.5
"906",906,70.5
"907",907,70.5
"908",908,69.5
"909",909,69.5
"910",910,69.5
"911",911,69.5
"912",912,68.5
"913",913,68.5
"914",914,68.5
"915",915,72.5
"916",916,72.5
"917",917,72.5
"918",918,72.5
"919",919,71.5
"920",920,71.5
"921",921,70.5
"922",922,70.5
"923",923,70.5
"924",924,69.5
"925",925,69.5
"926",926,69.5
"927",927,69.5
"928",928,69.5
